"last_name, first_name",player_id,year,p_formatted_ip,pa,hit,home_run,strikeout,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,p_earned_run,p_run,p_out,p_win,p_loss,p_era,p_lob,p_rbi,p_ab_scoring,p_called_strike,p_swinging_strike,p_total_ball,p_total_strike,p_total_swinging_strike,p_inh_runner,xba,xslg,woba,xwoba,xobp,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,n_ff_formatted,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,ff_range_speed,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,n_ch_formatted,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z,n_cu_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,n_si_formatted,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z,n_fc_formatted,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z,n_fs_formatted,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z,n_kn_formatted,kn_avg_speed,kn_avg_spin,kn_avg_break_x,kn_avg_break_z,st_avg_speed,st_avg_spin,st_avg_break_x,st_avg_break_z
"Lord, Brad",695418,2025,130.2,546,126,17,108,19.8,7.9,0.255,0.415,0.317,0.732,63,65,392,5,10,4.34,97,62,110,313,196,752,1376,196,14,0.273,0.431,0.319,0.335,0.334,34.4,7.1,8.2,41.8,76.26194774,94.57853226,21.3,50,48.2,94.7,2330,-15.6,-20,1.4,20.3,85.5,2513,0.8,-36.8,13.1,85.9,1957,-17.8,-31.8,,,,,,18.3,94.4,2225,-18.1,-26.2,,,,,,,,,,,,,,,,,,,
"Bibee, Tanner",676440,2024,173.2,710,150,22,187,26.3,6.2,0.23,0.406,0.285,0.691,67,70,521,12,8,3.47,121,65,127,435,348,962,1889,351,0,0.237,0.392,0.299,0.3,0.292,37.4,7,9.1,36.9,77.50410868,93.7193291,26.9,51,43.4,94.6,2361,-4.2,-14.7,1.4,,,,,,18,82.5,1992,-13.7,-28.6,6.1,80.5,2680,13.7,-48.9,0.4,94,2081,-13.8,-22,25.8,86.4,2738,8.3,-32.8,,,,,,,,,,,82.9,2683,16.1,-40.1
"Canning, Griffin",656288,2024,171.2,739,174,31,130,17.6,8.9,0.265,0.459,0.334,0.793,99,105,515,6,13,5.19,119,92,121,416,297,1065,1804,316,0,0.259,0.438,0.341,0.334,0.33,32.4,8.6,5.4,41.9,80.44388652,94.70050589,24.5,48.4,37.3,93.4,2118,-8.1,-15.2,1,24.1,87.7,2672,-0.1,-36.7,26.7,88.6,1770,-16.4,-30.6,10.7,80.5,2377,12.4,-48.4,1.3,92.9,1975,-13.8,-18.8,,,,,,,,,,,,,,,,,,,
"Skubal, Tarik",669373,2024,192,753,142,15,228,30.3,4.6,0.201,0.311,0.247,0.558,51,54,576,18,4,2.39,122,49,121,501,406,881,1985,420,0,0.207,0.328,0.246,0.257,0.253,33.1,6.7,4.2,33.9,76.23653051,93.34039981,31.9,51.8,33.2,96.9,2226,6.5,-12.9,1.6,14.9,88.7,2105,-2.3,-28.5,27,86.3,1689,14.9,-30.8,4.2,78.5,2322,-5.6,-52.2,20.6,96.6,2116,14.5,-17.1,,,,,,0.1,86.8,930,15.5,-31.6,,,,,,,,,
"Corbin, Patrick",571578,2024,174.2,764,208,25,139,18.2,7.1,0.298,0.486,0.348,0.834,109,114,524,6,13,5.62,138,102,172,439,262,1057,1831,294,0,0.295,0.472,0.357,0.357,0.347,37.3,8.3,7.7,46.7,79.87784313,95.30570991,22.4,48.2,5.7,91.3,2149,7.8,-18.4,1.2,34.2,80,2202,-2.7,-42.5,3.3,81.1,1574,12.7,-31.9,1.8,69.7,1935,-3,-57.2,35.7,91.5,2084,13.9,-21.8,19.2,85.7,2296,-2.1,-32.5,0,77,1133,11.1,-41.5,,,,,,,,,
"Burnes, Corbin",669203,2024,194.1,784,165,22,181,23.1,6.1,0.226,0.347,0.274,0.621,63,76,583,15,9,2.92,132,68,163,469,345,1064,1932,386,0,0.231,0.367,0.273,0.284,0.28,26.8,6.7,3.6,31.6,76.69380383,93.20622916,28.6,48.8,0.1,96.3,1805,-13,-20.7,1.4,12.8,87.6,2982,8.3,-36.7,11.1,89.2,2037,-14.1,-27.5,21.5,80.3,2877,10,-55.6,7.7,97,2520,-12.2,-18.7,45,95.3,2738,2.4,-17.5,,,,,,,,,,,84.2,2970,17,-39.7
"Singer, Brady",663903,2024,179.2,762,175,22,170,22.3,7.1,0.253,0.405,0.315,0.72,74,77,539,9,13,3.71,148,71,151,537,296,1105,1862,305,0,0.267,0.426,0.316,0.331,0.329,35.6,8,5.9,41.7,77.27500158,94.4311359,25.1,44.7,11,91.7,2364,-5.8,-18.8,1.2,40.3,83,2407,4.5,-40.5,1.8,88,2074,-14.7,-29.6,,,,,,41.6,92.2,2277,-14.3,-22.6,0,82.8,2450,8.6,-30.9,,,,,,,,,,,82.1,2426,10.7,-37.9
"Quantrill, Cal",615698,2024,148.1,656,156,23,110,16.8,10.5,0.273,0.461,0.361,0.822,82,83,445,8,11,4.98,132,74,133,403,217,1031,1612,228,0,0.274,0.434,0.358,0.351,0.362,37.1,7.3,7.7,41.2,77.92321026,94.35473824,21.6,45.7,35.9,93.9,2188,-10.5,-16.9,1,0.6,84,2453,3.6,-38.4,2.6,84.9,1555,-11.5,-29.8,11.8,79.4,2431,2.9,-47.5,4.3,93.8,2137,-15.2,-17.6,13,87.7,2369,3.2,-30.3,31.9,86.6,1038,-9.3,-31.8,,,,,,,,,
"Imanaga, Shota",684007,2024,173.1,694,149,27,174,25.1,4,0.225,0.385,0.259,0.644,56,66,520,15,3,2.91,107,60,98,335,365,812,1778,376,0,0.234,0.389,0.279,0.285,0.268,36,8.6,5.7,39.3,77.58623086,93.93142473,28.3,55.7,51.9,91.7,2442,10.2,-14.4,1.3,,,,,,3.8,81.6,1678,12,-31.5,3.3,72.5,2414,-8.9,-65.2,2.2,89,1867,14.6,-24.9,0.5,89.8,2387,0.4,-19.9,30.8,82.9,1119,10.2,-33,,,,,,81.6,2512,-10.1,-38
"Priester, Quinn",682990,2025,157.1,653,145,18,132,20.2,7.7,0.245,0.4,0.309,0.709,58,62,472,13,3,3.32,120,54,129,410,241,919,1549,254,2,0.238,0.359,0.31,0.295,0.304,28.6,7.3,5.4,39.4,78.20206904,94.11122105,24.5,46.2,,,,,,,27.2,86.1,2469,4.1,-37.2,1.5,88.4,1415,-13,-30.4,9.2,80.9,2663,4.6,-50.4,41.7,93.9,2044,-14.6,-23.9,20.4,92.3,2353,0.6,-20.7,,,,,,,,,,,,,,
"Peralta, Freddy",642547,2025,176.2,723,124,21,204,28.2,9.1,0.193,0.327,0.277,0.604,53,54,530,17,6,2.7,137,45,111,456,383,1184,1902,399,0,0.21,0.36,0.27,0.291,0.292,33.9,9.3,5.2,34.5,76.98626696,93.5568435,30.1,46.9,53.5,94.8,2441,-4.6,-13.9,1.6,9.4,83.7,2454,5.4,-33.7,21.2,88.9,1929,-16.8,-31.2,15.8,78.8,2336,5.5,-50,,,,,,,,,,,,,,,,,,,,,,,,
"Baz, Shane",669358,2025,166.1,711,158,26,176,24.8,9,0.25,0.433,0.325,0.758,90,91,499,10,12,4.87,122,77,155,435,294,947,1771,318,0,0.233,0.377,0.33,0.305,0.31,32.3,9.5,4.1,39.4,77.84506296,94.260697,25.8,49.2,43.9,97,2456,-9.9,-12.6,1.6,3,86.7,2331,3.5,-35.6,11.4,89.3,2114,-16.7,-25.4,26.9,85,2699,7.6,-50.5,,,,,,14.7,90.2,2344,2.5,-25.6,,,,,,,,,,,,,,
"Gray, Sonny",543243,2025,180.2,753,185,25,201,26.7,5,0.262,0.424,0.302,0.726,86,93,542,14,8,4.28,121,82,132,511,280,919,1800,331,0,0.253,0.411,0.314,0.307,0.294,34.8,9.8,7.3,40.7,76.98236723,94.5187399,27.5,47.4,22.3,91.7,2500,1.4,-21.8,0.9,1.6,84.4,2620,5,-39.3,8.4,86.2,1860,-13.7,-30.1,18.4,80.2,2583,12.7,-56.8,17.4,92.4,2389,-10.6,-23.8,12.6,87.8,2680,5.1,-33.1,,,,,,,,,,,85.1,2661,14.9,-42
"Williams, Gavin",668909,2025,167.2,704,130,23,173,24.6,11.8,0.211,0.364,0.307,0.671,57,62,503,12,5,3.06,137,55,133,465,305,1123,1802,343,0,0.233,0.396,0.299,0.319,0.326,35.3,9,6.5,44.3,80.17645335,94.83009127,27.7,45.7,37.4,96.6,2307,-10.9,-14.2,1.4,,,,,,0.1,87.6,1986,-5.4,-30.7,22,82,2454,10,-54.4,6.6,95.9,2060,-15.1,-20.1,14,91.8,2286,-2.3,-25.4,,,,,,,,,,,86.5,2269,10,-37.8
"Sale, Chris",519242,2025,125.2,510,102,11,165,32.4,6.3,0.22,0.341,0.285,0.626,36,38,377,7,5,2.58,89,35,97,364,252,674,1357,269,0,0.207,0.314,0.278,0.264,0.274,36.4,6.3,4,35.4,75.45573293,93.5351905,30.1,48.9,41.9,94.8,2266,15,-21.3,2,47.3,79.1,2356,-10.5,-47,7.3,86.6,1824,16.5,-37.2,,,,,,3.4,93.8,2098,18.2,-29.6,,,,,,,,,,,,,,,,,,,
"Skubal, Tarik",669373,2025,195.1,748,141,18,241,32.2,4.4,0.2,0.319,0.24,0.559,48,55,586,13,6,2.21,109,50,102,442,465,846,2003,474,0,0.208,0.339,0.245,0.258,0.248,35.6,8.1,5.3,33,73.77099764,93.24440469,32.5,54.8,29.5,97.6,2354,3.5,-11.8,1.4,12.5,90,2233,-3.2,-28.8,31.4,88,1837,15,-28.9,2.8,81.2,2505,-4.9,-46.9,23.7,97.3,2249,13.2,-15.4,,,,,,0.1,89.3,941,14.2,-28.6,,,,,,,,,
"Gil, Luis",661563,2024,151.2,637,104,18,171,26.8,12.1,0.189,0.345,0.297,0.642,59,60,455,15,7,3.5,117,51,115,410,308,1043,1621,310,0,0.208,0.356,0.288,0.302,0.314,33.7,9.5,6.1,37.4,78.9310489,94.03493908,29,45.5,48.7,96.6,2438,-5.6,-12.2,1.6,25.9,87.5,2506,5.7,-28.9,25.3,91.6,1721,-15.1,-27.5,,,,,,0,97.7,2545,-5.2,-11.3,,,,,,,,,,,,,,,,,,,
"Nola, Aaron",605400,2024,199.1,820,189,30,197,24,6.1,0.247,0.421,0.295,0.716,79,84,598,14,8,3.57,138,79,142,541,332,1099,2090,351,0,0.244,0.388,0.31,0.3,0.294,35.4,7.2,7.4,38.2,77.26534357,94.03817405,25.2,48.6,27.7,92.5,2307,-12,-17.4,1.5,,,,,,9.6,85.7,1558,-15.3,-34,32.9,79.1,2604,14,-53.9,20.6,91.5,2240,-16.9,-24.1,9.2,87.5,2288,-1.3,-27.1,,,,,,,,,,,,,,
"Montas, Frankie",593423,2024,150.2,655,140,24,148,22.6,10.1,0.243,0.42,0.325,0.745,81,89,452,7,11,4.84,109,85,115,383,276,968,1665,285,0,0.247,0.428,0.325,0.333,0.33,36.2,9.2,7.4,43.1,77.76235797,94.5763134,24.9,48.7,33,95.6,2387,-5.1,-14.5,1.6,6.3,85.7,2556,6.7,-36.2,,,,,,,,,,,19.3,94.8,2256,-13.8,-21.2,18.8,90.3,2427,1.9,-27.5,18.3,86,1515,-9.4,-34.3,,,,,,84.9,2478,8.8,-30.7
"Flexen, Chris",623167,2024,160,707,180,24,123,17.4,8.9,0.283,0.476,0.349,0.825,88,95,480,3,15,4.95,130,83,153,429,259,1080,1717,271,1,0.258,0.438,0.355,0.334,0.327,37,8.1,7.7,37.4,77.94860802,93.93552304,22.7,46,37.1,91.3,2143,-1.6,-14.6,1.2,1.3,80.5,2563,5.7,-44.8,15.7,81.3,1319,-11.7,-31.4,12.2,72,2576,7.2,-69.1,0,91.9,2241,-10.1,-10.6,26.2,87.4,2401,7.6,-28,,,,,,,,,,,80,2601,11.9,-46
"Bradley, Taj",671737,2024,138,578,122,22,154,26.6,8.1,0.235,0.408,0.3,0.708,63,68,414,8,11,4.11,91,62,99,319,281,812,1482,292,0,0.23,0.417,0.308,0.314,0.298,34.9,10.2,9.4,42.9,81.55694255,94.76637592,27.4,50.7,41.7,96.4,2304,-5.7,-11,1.4,,,,,,,,,,,8.9,79.1,2524,6.9,-62,,,,,,22.5,90.9,2265,4.5,-27,26.9,90.9,1485,-10.7,-27.6,,,,,,,,,
