"last_name, first_name",player_id,year,p_formatted_ip,pa,hit,home_run,strikeout,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,p_earned_run,p_run,p_out,p_win,p_loss,p_era,p_lob,p_rbi,p_ab_scoring,p_called_strike,p_swinging_strike,p_total_ball,p_total_strike,p_total_swinging_strike,p_inh_runner,xba,xslg,woba,xwoba,xobp,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,n_ff_formatted,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,ff_range_speed,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,n_ch_formatted,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z,n_cu_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,n_si_formatted,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z,n_fc_formatted,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z,n_fs_formatted,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z,n_kn_formatted,kn_avg_speed,kn_avg_spin,kn_avg_break_x,kn_avg_break_z,st_avg_speed,st_avg_spin,st_avg_break_x,st_avg_break_z
"Springs, Jeffrey",605488,2025,171,713,153,28,138,19.4,7.6,0.236,0.422,0.295,0.717,78,90,513,11,11,4.11,112,80,131,475,307,1054,1793,314,0,0.251,0.418,0.309,0.318,0.31,38.2,8.1,8.3,37.3,76.96531981,93.91126218,26,46.3,42.7,90.7,2171,11.3,-17.5,1.3,20.7,83.5,2226,-4,-36.6,25.3,79.1,1395,12.5,-37,,,,,,,,,,,5.4,86.9,2204,0.3,-27.7,,,,,,,,,,,76.1,2322,-15.2,-48.2
"Quantrill, Cal",615698,2025,117.2,513,136,22,85,16.6,6.8,0.288,0.515,0.343,0.858,79,81,353,4,12,6.04,78,74,109,321,161,748,1256,173,0,0.286,0.512,0.367,0.367,0.342,39.4,12.4,5.9,44.3,79.66684958,94.98047299,20.2,46.7,20.4,93.6,2137,-10.2,-14.9,1,8.2,84.9,2441,3.5,-38.2,0.2,87.7,1713,-14.4,-25.5,11.8,79.9,2524,4,-49.7,16.6,93.8,2102,-15.4,-18.8,21.7,88.9,2306,2.2,-26,21,86.3,1124,-11.7,-30.8,,,,,,,,,
"Wacha, Michael",608379,2025,172.2,716,166,15,126,17.6,6.3,0.252,0.383,0.302,0.685,74,74,518,10,13,3.86,127,61,125,403,249,920,1746,261,0,0.26,0.416,0.299,0.317,0.31,36.7,7.4,5.6,34.6,76.05657451,93.52351913,21.3,50.4,29,93,2153,-6.6,-13.7,1.4,11.8,84.8,1956,4.1,-33.7,25.4,79.8,1537,-13,-35.6,7.7,75.1,2260,11.5,-60.7,10.7,93.2,2046,-12.8,-16.4,15.4,88.1,2113,1.9,-25.5,,,,,,,,,,,,,,
"Leiter, Jack",683004,2025,151.2,646,127,18,148,22.9,10.4,0.222,0.361,0.309,0.67,65,69,455,10,10,3.86,116,55,112,386,265,962,1622,274,0,0.238,0.419,0.298,0.326,0.324,33.8,10.8,7,43.9,80.05193703,94.83295847,24.3,47.8,38.4,97.2,2422,-8.7,-11.8,1.4,23.3,87.6,2544,4.2,-34.3,16.4,90.7,1523,-14.5,-30.6,9.4,81.9,2630,6.3,-50.6,12.4,96.4,2353,-14,-14.8,,,,,,,,,,,,,,,,,,,
"Estes, Joey",683155,2024,127.2,543,130,23,92,16.9,5,0.259,0.473,0.308,0.781,71,73,383,7,9,5.01,81,63,100,275,185,627,1400,188,0,0.245,0.452,0.333,0.323,0.296,37.2,9.7,9.4,39.6,79.1148759,94.15426483,19.2,55.5,51.3,92.4,2374,-9.6,-15.6,1.3,13.6,81.7,2481,5.6,-40.6,11,84.8,1655,-14.6,-29.4,,,,,,3.9,90.8,2209,-15.3,-20.8,0.7,86.4,2579,3.8,-29.9,,,,,,,,,,,78.2,2605,15.5,-38.9
"Abbott, Andrew",671096,2024,138,586,127,25,114,19.5,8.9,0.24,0.439,0.309,0.748,57,60,414,10,10,3.72,108,54,92,380,205,843,1490,216,0,0.234,0.403,0.323,0.31,0.305,36.6,9.3,5.5,33.5,78.18333039,93.1776091,22.6,47.6,53.5,92.8,2254,8.9,-15.5,1,0.2,85.1,2613,-4.5,-26.7,16.3,84.8,2115,14.8,-25.6,11.6,80.8,2790,-8.8,-45.7,,,,,,,,,,,,,,,,,,,,,82.9,2730,-12.6,-35.3
"Sánchez, Cristopher",650911,2024,181.2,754,182,11,153,20.3,5.8,0.258,0.358,0.301,0.659,67,76,545,11,9,3.32,136,60,151,454,300,901,1896,316,0,0.258,0.362,0.29,0.293,0.301,30.2,5.4,4.1,34.5,75.18960646,93.87069305,24.3,51.6,,,,,,,16.8,84.4,2019,-1,-41.6,35.7,85.1,2018,17.9,-37.2,,,,,,47.3,94.5,2111,17.8,-23.2,0.2,84.9,2012,-0.2,-35.2,,,,,,,,,,,,,,
"Falter, Bailey",663559,2024,142.1,589,138,17,97,16.5,7.6,0.26,0.424,0.315,0.739,70,72,427,8,9,4.43,92,66,114,354,181,726,1412,186,0,0.267,0.45,0.32,0.336,0.324,36.6,9,7.4,41.3,79.92038041,94.43066048,19.6,49.5,46.8,91.8,2038,2.6,-14.6,1.2,21.6,86.1,1978,-3.3,-30.5,,,,,,15.2,77.7,1888,-3.7,-48.6,15.8,92,1920,7.9,-15.4,,,,,,0.6,86.9,1530,7.3,-21.2,,,,,,,,,
"Mikolas, Miles",571945,2024,171.2,720,194,26,122,16.9,3.5,0.284,0.485,0.312,0.797,102,106,515,10,11,5.35,105,95,134,514,181,844,1861,189,0,0.277,0.458,0.339,0.331,0.307,38.1,8.1,8.8,42.3,77.51144944,94.25374515,16.4,49.8,27.9,93.2,2253,-6.3,-17.7,1.4,24.3,86.5,2322,3.3,-33.3,8.5,85.6,1676,-14.2,-30.8,12.1,76.3,2520,7.9,-61.5,23,92.4,2153,-13.9,-22.6,,,,,,,,,,,,,,,,80.8,2385,12.5,-43.6
"Wheeler, Zack",554430,2025,149.2,585,107,19,195,33.3,5.6,0.197,0.349,0.253,0.602,45,48,449,10,5,2.71,93,42,74,344,327,845,1549,347,0,0.19,0.306,0.263,0.246,0.246,36.7,7.2,6.6,34.1,76.48060897,93.22780997,31.5,50.3,41,96.1,2470,-10.1,-15.1,1.3,,,,,,,,,,,9.8,81.1,2810,12.5,-52.2,17,95.4,2310,-17.6,-22.8,8.6,91.8,2564,0.8,-22.9,8.9,87.1,1534,-13.2,-31.8,,,,,,83.7,2669,13.6,-36.5
